"Time","WorkingSetMB","PrivateMB","GrowthMB","Handles","Threads","SysFreeMB"
"19:42:14","9387,2","15247,5","0","3845","121","11775"
"19:42:29","9385,7","15246,8","-0,7","3839","119","11786"
"19:42:44","9384,7","15245,8","-1,7","3839","119","11816"
"19:42:59","9385,4","15246,5","-1","3839","119","11735"
"19:43:14","9385,1","15246,2","-1,3","3837","120","11761"
"19:43:29","9385,3","15246,4","-1,1","3843","120","11746"
"19:43:44","9384,9","15245,9","-1,6","3842","120","11747"
"19:43:59","9384,7","15245,7","-1,8","3842","120","11760"
"19:44:14","9385,2","15245,8","-1,7","3841","120","11757"
"19:44:29","9385,1","15245,9","-1,6","3836","119","11812"
"19:44:45","9385,1","15245,7","-1,8","3828","117","11814"
"19:45:00","9386,1","15246,7","-0,8","3826","117","11822"
"19:45:15","9385,2","15245,9","-1,6","3834","119","11747"
"19:45:30","9385,7","15246,2","-1,3","3838","119","11746"
"19:45:45","9385,3","15245,9","-1,6","3838","119","11737"
"19:46:00","9385,6","15246,1","-1,4","3838","119","11736"
"19:46:15","9386,3","15246,8","-0,7","3838","119","11711"
"19:46:30","9386,2","15246,7","-0,8","3838","119","11699"
"19:46:45","9386","15246,5","-1","3837","120","11672"
"19:47:00","9385,7","15246,2","-1,3","3829","118","11627"
"19:47:15","9385,6","15246,1","-1,4","3837","119","11650"
"19:47:30","9385,6","15246,1","-1,4","3840","119","11644"
"19:47:45","9385,4","15245,9","-1,6","3840","119","11666"
"19:48:00","9385,3","15245,8","-1,7","3835","118","11610"
"19:48:15","9385,8","15246,8","-0,7","3835","118","11611"
"19:48:30","9385,6","15246,6","-0,9","3835","118","11630"
