"Time","WorkingSetMB","PrivateMB","GrowthMB","Handles","Threads","SysFreeMB"
"19:46:49","734,6","1005","0","6468","158","11630"
"19:47:04","734,6","1005,1","0,1","6468","158","11629"
"19:47:19","734,6","1005","0","6468","158","11657"
"19:47:34","734,6","1005","0","6468","158","11659"
"19:47:49","734,6","1005","0","6464","157","11660"
"19:48:04","734,6","1005,1","0,1","6464","158","11636"
"19:48:19","734,8","1005,3","0,3","6464","158","11622"
"19:48:34","734,6","1005","0","6464","158","11631"
"19:48:49","667,2","923,5","-81,5","5585","139","21184"
"19:49:04","661,6","923,6","-81,4","5585","140","21232"
"19:49:20","661,6","923,6","-81,4","5587","140","21324"
"19:49:35","661","923,6","-81,4","5589","140","21335"
"19:49:50","661","923,6","-81,4","5591","140","21314"
"19:50:05","660,8","923,5","-81,5","5585","138","21306"
"19:50:20","660,8","923,5","-81,5","5585","139","21276"
"19:50:35","660,8","923,5","-81,5","5585","139","21318"
"19:50:50","660,7","923,5","-81,5","5585","139","21286"
"19:51:05","660,7","923,5","-81,5","5589","139","21326"
"19:51:20","660,7","923,5","-81,5","5589","139","20896"
"19:51:35","660,7","923,5","-81,5","5587","139","21124"
"19:51:50","660,7","923,5","-81,5","5590","139","21049"
"19:52:05","660,7","923,5","-81,5","5590","139","20959"
"19:52:20","660,7","923,5","-81,5","5586","138","20944"
"19:52:35","660,7","923,5","-81,5","5588","138","20712"
"19:52:50","660,7","923,5","-81,5","5588","138","20802"
"19:53:05","660,7","923,5","-81,5","5588","139","20879"
"19:53:20","660,7","923,5","-81,5","5588","139","20879"
"19:53:35","660,7","923,5","-81,5","5589","139","21002"
