"Time","Process","WorkingSetMB","PrivateMB","GrowthMB","Handles","Threads","SysFreeMB"
"20:00:46","obs64","661,5","933,6","0","5596","138","20961"
"20:01:02","obs64","661,5","933,6","0","5596","138","20957"
"20:01:17","Starfield","499,5","3539,7","0","1349","46","20452"
"20:01:17","obs64","661,4","933,5","-0,1","5592","137","20452"
"20:01:32","Starfield","922","3924,7","385","1644","84","20066"
"20:01:32","obs64","661,4","933,5","-0,1","5592","137","20066"
"20:01:47","Starfield","7603,6","10042,6","6502,9","3567","126","13224"
"20:01:47","obs64","660,5","951,3","17,7","5620","143","13224"
"20:02:02","Starfield","8880,6","12212,3","8672,6","3816","132","11926"
"20:02:02","obs64","660,5","951,3","17,7","5620","143","11926"
"20:02:17","Starfield","10121,7","16501,3","12961,6","3835","129","10238"
"20:02:17","obs64","660,5","951,2","17,6","5616","143","10238"
"20:02:32","Starfield","9420,4","16957,5","13417,8","3916","128","11160"
"20:02:32","obs64","660,4","951,3","17,7","5619","143","11160"
"20:02:47","Starfield","9435,2","17798,4","14258,7","3916","128","11163"
"20:02:47","obs64","712,7","1033,2","99,6","6480","160","11163"
"20:03:02","Starfield","9441,1","18318,6","14778,9","3918","128","11135"
"20:03:02","obs64","712,8","1033,2","99,6","6487","161","11135"
"20:03:17","Starfield","9448,1","18841,1","15301,4","3916","128","11223"
"20:03:17","obs64","713","1033,4","99,8","6484","160","11223"
"20:03:32","Starfield","9443,9","19348,7","15809","3902","128","11250"
"20:03:32","obs64","712,8","1033,2","99,6","6480","159","11250"
"20:03:47","Starfield","9448,7","19865,4","16325,7","3902","127","11231"
"20:03:47","obs64","712,8","1033,1","99,5","6480","158","11231"
"20:04:02","Starfield","9453,4","20382,5","16842,8","3908","127","11236"
"20:04:02","obs64","713","1033,3","99,7","6480","158","11236"
"20:04:17","Starfield","9459,2","20901,6","17361,9","3911","127","11219"
"20:04:17","obs64","713","1033,2","99,6","6478","158","11219"
"20:04:32","Starfield","9464,8","21420,4","17880,7","3913","127","11227"
"20:04:32","obs64","712,9","1033,2","99,6","6477","157","11227"
"20:04:47","Starfield","9470,9","21939,2","18399,5","3905","124","11207"
"20:04:47","obs64","713","1033,2","99,6","6477","158","11207"
"20:05:03","Starfield","9474,7","22454,2","18914,5","3907","124","11188"
"20:05:03","obs64","713","1033,2","99,6","6481","158","11188"
"20:05:18","Starfield","9481","22972,7","19433","3906","124","11142"
"20:05:18","obs64","713","1033,2","99,6","6481","158","11142"
"20:05:33","Starfield","9484,9","23488,9","19949,2","3909","124","11155"
"20:05:33","obs64","713","1033,2","99,6","6481","158","11155"
"20:05:48","Starfield","9492,9","24009,1","20469,4","3911","124","11051"
"20:05:48","obs64","713","1033,3","99,7","6481","158","11051"
"20:06:03","Starfield","9498,4","24527,1","20987,4","3913","124","11026"
"20:06:03","obs64","713","1033,3","99,7","6481","158","11026"
"20:06:18","Starfield","9505","25046,5","21506,8","3915","124","10968"
"20:06:18","obs64","713","1033,2","99,6","6481","158","10968"
"20:06:33","Starfield","9510,9","25566,1","22026,4","3912","123","10948"
"20:06:33","obs64","713","1033,2","99,6","6479","158","10948"
"20:06:48","Starfield","9516,9","26086,1","22546,4","3909","122","10933"
"20:06:48","obs64","713,1","1033,3","99,7","6481","158","10933"
"20:07:03","Starfield","9522,5","26604","23064,3","3909","122","10903"
"20:07:03","obs64","713,2","1033,4","99,8","6481","158","10903"
"20:07:18","Starfield","9712,2","26864,3","23324,6","3911","123","10714"
"20:07:18","obs64","713","1033,2","99,6","6481","158","10714"
"20:07:33","Starfield","9930,8","27082,7","23543","3919","123","10766"
"20:07:33","obs64","665,4","1033,2","99,6","6481","158","10766"
"20:07:48","Starfield","10148,6","27300,9","23761,2","3919","123","10559"
"20:07:48","obs64","665,5","1033,2","99,6","6481","158","10559"
"20:08:03","Starfield","10367,5","27519,9","23980,2","3921","123","10287"
"20:08:03","obs64","665,5","1033,2","99,6","6477","157","10287"
"20:08:18","Starfield","10586,5","27739,3","24199,6","3922","123","10066"
"20:08:18","obs64","665,5","1033,2","99,6","6479","158","10066"
