"Time","Process","WorkingSetMB","PrivateMB","GrowthMB","Handles","Threads","SysFreeMB"
"20:09:37","Starfield","11727,7","28883,2","0","3928","123","8820"
"20:09:37","obs64","665,8","1033,5","0","6481","158","8820"
"20:09:52","Starfield","11947,8","29103,7","220,5","3929","123","8573"
"20:09:52","obs64","665,8","1033,6","0,1","6481","158","8573"
"20:10:07","obs64","665,7","1033,4","0","6457","157","20842"
"20:10:22","obs64","665,7","1033,4","0","6457","157","20958"
"20:10:37","obs64","665,7","1033,4","0","6457","157","21003"
"20:10:52","obs64","665,7","1033,4","0","6457","157","20978"
"20:11:07","obs64","614,7","952,6","-80,8","5598","139","21012"
"20:11:22","obs64","614,7","952,6","-80,8","5594","138","21027"
"20:11:37","Starfield","503,5","3534,9","0","1429","49","20497"
"20:11:37","obs64","615,9","962,7","-70,7","5605","139","20497"
"20:11:52","Starfield","3715,2","8173,7","4638,8","3510","123","17000"
"20:11:52","obs64","614,8","982,3","-51,1","5628","142","17000"
"20:12:08","Starfield","8002,8","10589","7054,1","3522","123","12866"
"20:12:08","obs64","614,8","982,3","-51,1","5628","142","12866"
"20:12:23","Starfield","8406,6","11719","8184,1","3594","132","12442"
"20:12:23","obs64","614,8","982,3","-51,1","5628","142","12442"
"20:12:38","Starfield","9835,6","15521,5","11986,6","3830","129","11507"
"20:12:38","obs64","299,9","982,3","-51,1","5625","142","11507"
"20:12:53","Starfield","9341,1","14961,3","11426,4","3866","128","11643"
"20:12:53","obs64","299,9","982,3","-51,1","5627","142","11643"
"20:13:08","Starfield","9397,6","16260,5","12725,6","3904","128","11737"
"20:13:08","obs64","299,9","982,3","-51,1","5629","142","11737"
"20:13:23","Starfield","9397,8","16049,9","12515","3900","128","11836"
"20:13:23","obs64","299,9","982,3","-51,1","5631","142","11836"
"20:13:38","Starfield","9398","16050,1","12515,2","3900","128","11878"
"20:13:38","obs64","299,9","982,2","-51,2","5627","141","11878"
"20:13:53","Starfield","9397,8","16049,8","12514,9","3874","125","11901"
"20:13:53","obs64","299,9","982,2","-51,2","5627","141","11901"
"20:14:08","Starfield","9397,8","16049,7","12514,8","3871","124","11939"
"20:14:08","obs64","299,9","982,2","-51,2","5627","141","11939"
"20:14:23","Starfield","9397,8","16049,6","12514,7","3869","124","11962"
"20:14:23","obs64","299,9","982,2","-51,2","5627","141","11962"
"20:14:38","Starfield","9397,9","16049,6","12514,7","3869","124","11971"
"20:14:38","obs64","299,9","982,2","-51,2","5624","140","11971"
"20:14:53","Starfield","9397,9","16049,7","12514,8","3869","124","11968"
