"Time","Process","WorkingSetMB","PrivateMB","GrowthMB","Handles","Threads","SysFreeMB"
"18:52:44","Starfield","531,8","3553,7","0","1429","48","18166"
"18:52:59","Starfield","4650","8823,1","5269,4","3508","123","13799"
"18:53:14","Starfield","8021,8","10064,4","6510,7","3550","126","10517"
"18:53:29","Starfield","9709,2","14639,8","11086,1","3823","132","8839"
"18:53:44","Starfield","9341,1","14200,8","10647,1","3882","128","8919"
"18:53:59","Starfield","9343,4","14202,5","10648,8","3881","128","9058"
"18:54:14","Starfield","9389,9","14893,7","11340","3920","128","9380"
"18:54:29","Starfield","9390,1","14894","11340,3","3914","128","9687"
"18:54:44","Starfield","9390,4","14894,5","11340,8","3901","129","9729"
"18:54:59","Starfield","9380,3","14884,3","11330,6","3898","128","9757"
"18:55:14","Starfield","9380,3","14884,1","11330,4","3894","127","9774"
"18:55:29","Starfield","9380,4","14884,2","11330,5","3894","127","9777"
"18:55:44","Starfield","9379","14884,1","11330,4","3894","127","9776"
"18:55:59","Starfield","9379","14884","11330,3","3883","124","9832"
"18:56:14","Starfield","9378,9","14883,9","11330,2","3884","124","9821"
"18:56:29","Starfield","9379","14884","11330,3","3884","124","9826"
"18:56:44","Starfield","9379","14884","11330,3","3883","124","9820"
"18:57:00","Starfield","9377,4","14883,9","11330,2","3884","124","9827"
"18:57:15","Starfield","9377,5","14884","11330,3","3883","123","9801"
"18:57:30","Starfield","9377,4","14883,8","11330,1","3883","123","9759"
"18:57:45","Starfield","9345,9","14399,4","10845,7","3846","124","9818"
"18:58:00","Starfield","9346,2","14399,3","10845,6","3842","123","9761"
"18:58:15","Starfield","9346,3","14398,9","10845,2","3835","121","9701"
"18:58:30","Starfield","9346,5","14399,1","10845,4","3833","121","9739"
"18:58:45","Starfield","9378,7","14663,4","11109,7","4044","123","9708"
"18:59:00","Starfield","9601,5","16910,1","13356,4","3856","123","9498"
"18:59:15","Starfield","9587,9","17182,9","13629,2","3925","123","9491"
"18:59:30","Starfield","9605","17294","13740,3","3947","124","9460"
"18:59:45","Starfield","9594,4","17316,6","13762,9","3943","126","9492"
"19:00:00","Starfield","9597,5","17287","13733,3","3948","124","9516"
"19:00:15","Starfield","9591,6","17280,7","13727","3952","126","9520"
"19:00:30","Starfield","9591,4","17281,3","13727,6","3953","123","9521"
"19:00:45","Starfield","9591,3","17152,2","13598,5","3953","122","9524"
"19:01:00","Starfield","9592","17088,7","13535","3971","123","9520"
"19:01:16","Starfield","9593,5","17154,5","13600,8","3970","123","9518"
"19:01:31","Starfield","9597,7","17094,5","13540,8","3963","121","9516"
"19:01:46","Starfield","9599,3","17223,7","13670","3971","122","9516"
"19:02:01","Starfield","9600,2","17162","13608,3","3973","122","9516"
"19:02:16","Starfield","9604,4","17101,2","13547,5","3994","124","9514"
"19:02:31","Starfield","9604,2","17165,7","13612","3989","124","9519"
"19:02:46","Starfield","9606,5","17168,3","13614,6","3994","123","9510"
"19:03:01","Starfield","9612,8","17239,9","13686,2","4002","123","9466"
"19:03:16","Starfield","9611,6","17045,9","13492,2","4004","123","9473"
"19:03:31","Starfield","9618,3","17073,3","13519,6","4004","123","9610"
"19:03:46","Starfield","9618,3","17116","13562,3","3994","121","9605"
"19:04:01","Starfield","9617,8","17051,3","13497,6","3996","121","9626"
"19:04:16","Starfield","9617,7","17051,1","13497,4","3995","121","9616"
"19:04:31","Starfield","9617,9","17051,3","13497,6","3996","121","9641"
"19:04:46","Starfield","9617,9","17051,2","13497,5","3996","121","9627"
"19:05:01","Starfield","9617,9","17051,4","13497,7","4000","121","9634"
